GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
96.0066,1484.16,945,82.1178,199.117,3024.04,3.38432,283.817,9.09151,10
79,1463,945,63,164,2385,3.3,200,9,10
98,1523,945,68,201,2388,3.3,301,9,10
99,1524,945,69,211,2388,3.3,338,9,10
99,1524,945,69,211,2388,3.3,338,9,10
99,1523,945,73,211,3038,3.3,342,9,10
99,1523,945,73,211,3038,3.3,342,9,10
99,1522,945,73,207,3032,3.3,333,9,10
99,1522,945,73,207,3032,3.3,333,9,10
93,1527,945,76,188,3037,3.3,305,8,10
96,1530,945,76,192,3037,3.3,270,9,10
96,1530,945,76,192,3037,3.3,270,9,10
98,1529,945,75,195,3037,3.3,279,9,10
98,1529,945,75,195,3037,3.3,279,9,10
98,1526,945,76,196,3037,3.3,282,9,10
98,1526,945,76,196,3037,3.3,282,9,10
100,1525,945,77,199,3036,3.3,282,9,10
83,1532,945,76,174,3036,3.3,265,11,10
89,1537,945,77,172,3036,3.3,238,9,10
89,1532,945,76,184,3035,3.3,255,10,10
89,1532,945,76,184,3035,3.3,255,10,10
99,1528,945,78,198,3035,3.3,255,9,10
100,1525,945,77,202,3030,3.3,277,10,10
100,1525,945,77,202,3030,3.3,277,10,10
99,1525,945,80,200,3035,3.3,273,9,10
99,1525,945,80,200,3035,3.3,273,9,10
97,1525,945,80,202,3035,3.3,274,9,10
93,1522,945,78,205,3035,3.3,294,9,10
99,1524,945,79,201,3040,3.3,285,9,10
99,1524,945,79,201,3040,3.3,285,10,10
98,1525,945,80,199,3035,3.3,298,10,10
98,1525,945,80,199,3035,3.3,298,7,10
98,1525,945,81,203,3039,3.3,298,10,10
98,1525,945,81,203,3039,3.3,298,10,10
100,1523,945,79,206,3034,3.3,291,9,10
100,1523,945,79,206,3034,3.3,291,9,10
99,1519,945,80,212,3034,3.3,303,9,10
99,1520,945,82,208,3034,3.3,305,10,10
99,1520,945,82,208,3034,3.3,305,10,10
99,1522,945,82,204,3039,3.3,300,9,10
99,1522,945,82,204,3039,3.3,300,9,10
98,1521,945,81,209,3039,3.3,296,8,10
99,1522,945,81,203,3034,3.3,291,11,10
99,1524,945,83,202,3034,3.3,318,8,10
99,1524,945,83,202,3034,3.3,318,8,10
99,1521,945,83,208,3039,3.3,298,8,10
99,1521,945,83,208,3039,3.3,298,8,10
81,1534,945,80,166,3039,3.4,264,9,10
81,1534,945,80,166,3039,3.4,264,9,10
99,1524,945,81,212,3039,3.4,263,10,10
99,1518,945,80,213,3034,3.4,317,10,10
99,1518,945,80,213,3034,3.4,317,10,10
88,1529,945,81,182,3034,3.4,304,9,10
82,1533,945,82,173,3039,3.4,245,10,10
87,1532,945,82,188,3039,3.4,253,11,10
87,1532,945,82,188,3039,3.4,253,11,10
100,1524,945,82,209,3034,3.4,268,10,10
99,1522,945,83,205,3034,3.4,296,9,10
99,1522,945,83,205,3034,3.4,296,9,10
94,1525,945,81,198,3039,3.4,329,9,10
94,1525,945,81,198,3039,3.4,329,9,10
99,1517,945,83,209,3039,3.4,333,9,10
99,1516,945,83,218,3034,3.4,338,10,10
99,1518,945,83,210,3039,3.4,332,10,10
96,1519,945,82,208,3039,3.4,317,10,10
96,1519,945,82,208,3039,3.4,317,10,10
95,1527,945,83,195,3039,3.4,344,9,10
98,1526,945,82,199,3034,3.4,370,10,10
97,1524,945,82,202,3034,3.4,382,10,10
97,1524,945,82,202,3034,3.4,382,9,10
92,1522,945,82,205,3034,3.4,378,9,10
92,1522,945,82,205,3039,3.4,378,8,10
99,1518,945,82,214,3034,3.4,365,9,10
99,1518,945,82,214,3034,3.4,365,9,10
98,1475,945,83,209,3034,3.4,342,9,10
98,1479,945,83,216,3034,3.4,334,9,10
98,1479,945,83,216,3034,3.4,334,9,10
89,1529,945,81,187,3039,3.4,277,10,10
89,1529,945,81,187,3039,3.4,277,10,10
90,1527,945,83,188,3039,3.4,261,10,10
90,1527,945,83,188,3039,3.4,261,10,10
97,1524,945,84,201,3034,3.4,243,11,10
98,1525,945,82,206,3035,3.4,264,11,10
100,1523,945,84,204,3034,3.4,271,11,10
100,1522,945,82,206,3039,3.4,272,9,10
100,1522,945,82,204,3035,3.4,276,10,10
100,1522,945,82,204,3035,3.4,276,10,10
100,1522,945,82,205,3034,3.4,274,10,10
100,1522,945,82,205,3034,3.4,274,10,10
100,1522,945,85,204,3035,3.4,273,9,10
100,1522,945,85,204,3035,3.4,273,9,10
99,1522,945,84,208,3039,3.4,273,10,10
99,1522,945,85,207,3035,3.4,271,9,10
99,1522,945,85,207,3035,3.4,271,9,10
100,1488,945,82,198,3035,3.4,270,9,10
99,1515,945,83,204,3035,3.4,272,11,10
99,1515,945,83,204,3035,3.4,272,11,10
99,1518,945,85,206,3035,3.4,274,9,10
99,1519,945,83,210,3040,3.4,293,9,10
99,1519,945,83,210,3040,3.4,293,9,10
97,1492,945,83,208,3035,3.4,282,9,10
97,1492,945,83,208,3035,3.4,282,9,10
97,1463,945,85,201,3035,3.4,271,8,10
97,1452,945,84,202,3040,3.4,285,8,10
97,1452,945,84,202,3040,3.4,285,8,10
95,1462,945,84,205,3040,3.4,287,8,10
95,1462,945,84,205,3040,3.4,287,8,10
99,1451,945,85,209,3035,3.4,288,9,10
99,1372,945,84,201,3035,3.4,283,9,10
100,1383,945,84,207,3035,3.4,288,9,10
100,1383,945,84,207,3035,3.4,288,8,10
99,1370,945,84,206,3040,3.4,289,8,10
99,1388,945,84,204,3035,3.4,280,8,10
100,1358,945,84,199,3035,3.4,275,8,10
100,1358,945,84,199,3035,3.4,275,8,10
95,1445,945,84,203,3035,3.4,327,8,10
95,1445,945,84,203,3035,3.4,327,8,10
95,1475,945,84,203,3035,3.4,357,8,10
95,1475,945,84,203,3035,3.4,357,8,10
