GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
96.1182,1482.24,945,81.7663,199.22,3025.14,3.38387,285.934,9.34544,10
88,1437,945,64,176,2350,3.3,200,11,10
85,1526,945,65,177,2393,3.3,269,10,10
85,1526,945,65,177,2393,3.3,269,10,10
95,1528,945,70,200,2991,3.3,334,10,10
95,1528,945,70,200,2991,3.3,334,10,10
99,1522,945,72,212,3039,3.3,345,9,10
99,1522,945,72,212,3039,3.3,345,9,10
100,1522,945,76,209,3039,3.3,328,8,10
93,1521,945,74,208,3038,3.3,310,9,10
93,1521,945,74,208,3038,3.3,310,9,10
96,1528,945,76,196,3037,3.3,280,9,10
96,1528,945,76,196,3037,3.3,280,9,10
93,1526,945,77,198,3037,3.3,286,9,10
93,1526,945,77,198,3037,3.3,286,9,10
99,1524,945,76,202,3037,3.3,289,9,10
99,1524,945,76,202,3031,3.3,288,10,10
99,1524,945,76,202,3031,3.3,288,10,10
81,1534,945,76,170,3036,3.3,268,10,10
81,1534,945,76,170,3036,3.3,268,10,10
92,1529,945,78,188,3035,3.3,257,10,10
99,1527,945,77,201,3035,3.3,270,11,10
99,1527,945,77,201,3035,3.3,270,11,10
99,1524,945,78,203,3035,3.3,277,10,10
99,1524,945,78,203,3035,3.3,270,10,10
99,1524,945,78,203,3035,3.3,270,10,10
99,1524,945,78,202,3034,3.3,279,10,10
99,1524,945,78,202,3034,3.3,279,10,10
99,1523,945,79,204,3039,3.3,294,10,10
99,1523,945,79,204,3039,3.3,294,10,10
97,1524,945,79,197,3039,3.3,300,10,10
96,1526,945,81,196,3039,3.3,297,8,10
96,1526,945,81,196,3039,3.3,297,8,10
99,1523,945,79,207,3034,3.3,295,9,10
99,1523,945,79,207,3034,3.3,295,9,10
99,1520,945,80,212,3033,3.3,290,10,10
100,1519,945,80,213,3033,3.3,308,9,10
99,1519,945,82,211,3038,3.3,308,10,10
99,1519,945,82,211,3038,3.3,308,10,10
99,1521,945,80,205,3038,3.3,303,9,10
99,1521,945,80,205,3038,3.3,303,9,10
99,1521,945,82,209,3038,3.3,304,9,10
98,1520,945,81,206,3038,3.3,292,9,10
98,1520,945,81,206,3038,3.3,292,9,10
99,1522,945,81,201,3033,3.3,308,8,10
99,1522,945,81,201,3033,3.3,308,8,10
99,1518,945,81,213,3038,3.3,309,9,10
99,1518,945,81,213,3038,3.3,309,9,10
84,1534,945,80,172,3033,3.4,249,9,10
84,1534,945,80,172,3033,3.4,249,9,10
99,1519,945,81,214,3038,3.4,285,10,10
95,1518,945,83,214,3038,3.4,318,10,10
86,1522,945,81,206,3038,3.4,305,10,10
86,1522,945,81,206,3038,3.4,305,9,10
90,1530,945,80,192,3038,3.4,253,10,10
90,1530,945,80,192,3038,3.4,253,10,10
98,1527,945,81,200,3033,3.4,276,10,10
98,1527,945,81,200,3033,3.4,276,10,10
99,1521,945,83,208,3038,3.4,299,8,10
99,1521,945,83,208,3038,3.4,299,8,10
99,1521,945,83,211,3033,3.4,349,9,10
99,1517,945,82,216,3033,3.4,341,8,10
99,1517,945,82,216,3033,3.4,341,8,10
99,1516,945,84,219,3038,3.4,340,9,10
99,1516,945,84,219,3038,3.4,340,9,10
90,1526,945,83,192,3038,3.4,330,9,10
94,1529,945,81,188,3038,3.4,352,9,10
89,1529,945,83,190,3038,3.4,360,9,10
89,1529,945,83,190,3038,3.4,360,9,10
95,1525,945,81,201,3033,3.4,378,9,10
95,1525,945,81,201,3033,3.4,378,9,10
99,1520,945,82,211,3038,3.4,374,9,10
96,1518,945,85,211,3038,3.4,363,9,10
97,1517,945,82,215,3033,3.4,349,9,10
97,1517,945,82,215,3033,3.4,349,9,10
99,1460,945,84,204,3038,3.4,337,8,10
95,1511,945,85,208,3033,3.4,318,10,10
95,1511,945,85,208,3033,3.4,318,10,10
97,1523,945,82,203,3033,3.4,277,10,10
97,1523,945,82,203,3033,3.4,277,10,10
95,1528,945,81,200,3038,3.4,243,9,10
100,1520,945,84,212,3033,3.4,281,10,10
100,1520,945,84,212,3033,3.4,281,10,10
99,1521,945,83,205,3038,3.4,275,9,10
99,1521,945,83,205,3038,3.4,275,9,10
100,1521,945,86,204,3033,3.4,280,8,10
100,1521,945,86,204,3033,3.4,280,8,10
100,1521,945,84,207,3038,3.4,282,10,10
100,1521,945,84,207,3038,3.4,282,10,10
100,1521,945,85,205,3033,3.4,282,9,10
100,1521,945,85,205,3033,3.4,282,9,10
100,1491,945,85,197,3038,3.4,279,9,10
100,1491,945,85,197,3038,3.4,279,9,10
100,1520,945,84,207,3034,3.4,279,10,10
99,1521,945,84,204,3039,3.4,280,11,10
99,1521,945,84,204,3039,3.4,280,11,10
100,1414,945,85,194,3034,3.4,275,11,10
100,1414,945,85,194,3034,3.4,275,11,10
98,1499,945,84,210,3039,3.4,281,9,10
98,1499,945,84,210,3039,3.4,281,9,10
98,1458,945,85,203,3039,3.4,273,8,10
97,1408,945,85,197,3039,3.4,277,8,10
97,1408,945,85,197,3039,3.4,277,8,10
100,1511,945,84,212,3034,3.4,297,8,10
100,1511,945,84,212,3034,3.4,297,8,10
98,1453,945,84,207,3039,3.4,289,9,10
99,1368,945,83,200,3034,3.4,276,9,10
100,1286,945,83,186,3039,3.4,273,9,10
100,1286,945,83,186,3039,3.4,273,9,10
99,1478,945,85,210,3034,3.4,299,9,10
99,1478,945,85,210,3034,3.4,299,9,10
100,1490,945,83,210,3034,3.4,288,8,10
99,1390,945,85,194,3039,3.4,283,9,10
99,1390,945,85,194,3039,3.4,283,9,10
95,1487,945,86,201,3039,3.4,351,8,10
95,1487,945,86,201,3039,3.4,351,8,10
96,1490,945,85,204,3034,3.4,369,8,10
96,1461,945,83,204,3034,3.4,366,8,10
