GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
95.7574,1461.16,945,81.8852,194.436,3028.27,3.38427,274.68,9.2426,10
87,1455,945,63,174,2382,3.3,194,9,10
87,1455,945,63,174,2382,3.3,194,9,10
99,1528,945,69,203,2391,3.3,296,9,10
99,1528,945,69,203,2391,3.3,296,9,10
98,1524,945,70,202,3033,3.3,332,8,10
98,1523,945,72,202,3043,3.3,337,9,10
99,1523,945,74,206,3043,3.3,319,9,10
99,1523,945,74,206,3043,3.3,319,9,10
86,1530,945,73,174,3038,3.3,297,8,10
86,1530,945,73,174,3038,3.3,297,8,10
98,1529,945,75,195,3037,3.3,269,9,10
98,1529,945,75,195,3037,3.3,269,9,10
95,1529,945,75,194,3037,3.3,275,9,10
95,1529,945,75,194,3037,3.3,275,9,10
99,1525,945,76,203,3037,3.3,281,9,10
99,1525,945,76,203,3037,3.3,281,9,10
82,1533,945,77,167,3042,3.3,269,10,10
95,1536,945,77,180,3036,3.3,237,10,10
95,1536,945,77,180,3036,3.3,237,10,10
95,1531,945,77,193,3036,3.3,251,10,10
99,1527,945,78,198,3036,3.3,272,10,10
99,1527,945,78,198,3036,3.3,272,9,10
99,1525,945,77,203,3036,3.3,273,9,10
99,1525,945,77,203,3036,3.3,273,9,10
99,1526,945,77,195,3041,3.3,264,9,10
99,1525,945,79,201,3036,3.3,287,9,10
97,1524,945,77,197,3036,3.3,288,10,10
97,1524,945,77,197,3036,3.3,288,10,10
99,1524,945,78,201,3040,3.3,291,8,10
99,1524,945,78,201,3040,3.3,291,8,10
98,1527,945,80,194,3040,3.3,293,8,10
98,1527,945,80,194,3040,3.3,293,8,10
93,1525,945,79,194,3040,3.3,286,9,10
93,1525,945,79,194,3040,3.3,286,9,10
99,1521,945,79,206,3035,3.3,293,10,10
99,1521,945,79,206,3035,3.3,293,10,10
99,1521,945,82,209,3035,3.3,299,9,10
99,1523,945,81,201,3040,3.3,293,9,10
99,1523,945,81,201,3040,3.3,293,9,10
99,1523,945,82,202,3035,3.3,295,9,10
95,1521,945,82,204,3040,3.3,292,9,10
95,1521,945,82,204,3040,3.3,292,9,10
98,1524,945,82,200,3040,3.3,300,8,10
98,1524,945,82,200,3040,3.3,300,8,10
99,1520,945,81,209,3040,3.3,299,9,10
99,1520,945,81,209,3040,3.3,299,9,10
86,1535,945,81,167,3040,3.4,245,10,10
85,1535,945,81,188,3035,3.4,247,9,10
85,1535,945,81,188,3035,3.4,247,9,10
96,1519,945,82,210,3040,3.4,303,8,10
84,1522,945,80,195,3040,3.4,318,8,10
84,1522,945,80,195,3040,3.4,318,8,10
79,1535,945,81,172,3040,3.4,235,10,10
79,1535,945,81,172,3040,3.4,235,10,10
97,1531,945,82,193,3040,3.4,255,9,10
99,1523,945,82,206,3040,3.4,294,10,10
99,1523,945,82,206,3040,3.4,294,10,10
99,1526,945,81,197,3035,3.4,323,10,10
99,1526,945,81,197,3035,3.4,323,10,10
99,1518,945,81,215,3040,3.4,332,9,10
99,1518,945,81,215,3040,3.4,332,9,10
99,1517,945,83,211,3040,3.4,327,9,10
99,1517,945,83,211,3040,3.4,327,9,10
91,1528,945,83,186,3040,3.4,324,9,10
91,1528,945,83,186,3040,3.4,324,9,10
95,1525,945,81,196,3040,3.4,356,9,10
95,1525,945,81,196,3040,3.4,356,9,10
97,1525,945,83,201,3040,3.4,366,9,10
97,1525,945,83,201,3040,3.4,366,9,10
99,1518,945,83,216,3035,3.4,353,9,10
96,1472,945,84,203,3046,3.4,333,9,10
96,1472,945,84,203,3046,3.4,333,9,10
99,1466,945,84,211,3035,3.4,335,8,10
99,1466,945,84,211,3035,3.4,335,8,10
100,1513,945,84,207,3041,3.4,306,9,10
91,1528,945,81,188,3036,3.4,265,9,10
94,1528,945,81,194,3035,3.4,259,9,10
94,1528,945,81,194,3035,3.4,259,9,10
83,1530,945,82,172,3041,3.4,231,9,10
99,1523,945,83,206,3041,3.4,269,11,10
99,1523,945,83,206,3041,3.4,269,11,10
99,1522,945,84,201,3036,3.4,271,9,10
99,1522,945,82,205,3041,3.4,270,9,10
99,1522,945,82,205,3041,3.4,270,9,10
99,1522,945,84,205,3036,3.4,273,9,10
99,1522,945,84,205,3036,3.4,273,9,10
100,1511,945,83,209,3036,3.4,268,9,10
100,1511,945,83,209,3036,3.4,268,9,10
100,1475,945,84,197,3041,3.4,267,10,10
100,1514,945,84,203,3041,3.4,268,11,10
100,1514,945,84,203,3041,3.4,268,11,10
100,1496,945,85,204,3036,3.4,266,10,10
99,1519,945,84,203,3036,3.4,268,10,10
99,1519,945,84,203,3036,3.4,268,10,10
100,1490,945,84,205,3041,3.4,270,10,10
100,1490,945,84,205,3041,3.4,270,10,10
100,1408,945,83,195,3041,3.4,275,9,10
100,1408,945,83,195,3041,3.4,275,9,10
97,1432,945,82,201,3042,3.4,264,10,10
97,1432,945,82,201,3042,3.4,264,10,10
98,1411,945,83,195,3041,3.4,259,8,10
98,1411,945,83,195,3041,3.4,259,8,10
100,1437,945,84,204,3042,3.4,282,9,10
100,1437,945,84,204,3042,3.4,282,9,10
97,1377,945,84,189,3042,3.4,271,10,10
99,1416,945,83,199,3037,3.4,284,10,10
99,1416,945,83,199,3037,3.4,284,10,10
100,1342,945,84,187,3037,3.4,269,8,10
100,1342,945,84,187,3037,3.4,269,8,10
100,1357,945,83,197,3042,3.4,270,8,10
99,1370,945,84,202,3037,3.4,264,10,10
99,1397,945,82,200,3042,3.4,275,9,10
99,1397,945,82,200,3042,3.4,275,9,10
99,1400,945,82,199,3037,3.4,296,8,10
95,1498,945,83,205,3037,3.4,358,9,10
95,1498,945,83,205,3037,3.4,358,9,10
96,1489,945,83,206,3037,3.4,356,7,10
96,1489,945,83,206,3037,3.4,356,7,10
96,1460,945,82,199,3037,3.4,364,7,10
95,1495,945,84,201,3043,3.4,375,8,10
95,1495,945,84,201,3043,3.4,375,8,10
96,1359,945,84,192,3043,3.4,347,8,10
96,1359,945,84,192,3043,3.4,347,8,10
99,1424,945,85,199,3038,3.4,313,9,10
95,1449,945,84,195,3038,3.4,290,14,10
96,1459,945,82,199,3038,3.4,293,10,10
96,1459,945,82,199,3038,3.4,293,10,10
92,1526,945,82,194,3043,3.4,278,10,10
92,1526,945,82,194,3043,3.4,278,10,10
98,1486,945,83,197,3043,3.4,274,10,10
98,1486,945,83,197,3043,3.4,274,10,10
95,1454,945,84,188,3043,3.4,264,9,10
95,1454,945,84,188,3043,3.4,264,9,10
91,1526,945,82,191,3043,3.4,264,9,10
99,1506,945,84,205,3043,3.4,262,10,10
99,1506,945,84,205,3043,3.4,262,10,10
100,1363,945,83,193,3043,3.4,257,8,10
100,1363,945,83,193,3043,3.4,257,8,10
99,1400,945,84,200,3043,3.4,257,8,10
100,1349,945,84,191,3044,3.4,250,9,10
100,1349,945,84,191,3044,3.4,250,9,10
99,1350,945,84,191,3043,3.4,265,10,10
99,1350,945,84,191,3043,3.4,265,10,10
