GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
97.5932,1465.96,945,82.092,199.468,3024.51,3.58426,280.755,8.72783,10
99,1435,945,62,191,2258,3.5,163,7,10
99,1435,945,62,191,2258,3.5,163,7,10
99,1525,945,68,202,2391,3.5,306,10,10
99,1525,945,68,202,2391,3.5,306,10,10
99,1523,945,71,210,3038,3.5,344,9,10
99,1522,945,72,218,3038,3.5,334,9,10
99,1522,945,72,218,3037,3.5,334,9,10
100,1523,945,73,208,3042,3.5,322,8,10
100,1523,945,73,208,3042,3.5,322,8,10
95,1527,945,75,199,3041,3.5,293,8,10
99,1526,945,75,199,3041,3.5,283,8,10
99,1526,945,75,198,3036,3.5,283,9,10
98,1527,945,76,196,3040,3.5,283,9,10
98,1527,945,76,196,3040,3.5,283,9,10
99,1524,945,77,206,3039,3.5,282,9,10
99,1525,945,77,201,3039,3.5,280,8,10
99,1525,945,77,201,3039,3.5,280,8,10
92,1530,945,75,185,3039,3.5,271,10,10
100,1528,945,77,196,3038,3.5,266,9,10
100,1528,945,77,196,3038,3.5,266,9,10
99,1526,945,78,196,3038,3.5,268,9,10
99,1526,945,78,196,3038,3.5,268,9,10
99,1525,945,76,198,3038,3.5,273,9,10
99,1525,945,76,198,3038,3.5,273,9,10
99,1524,945,77,200,3038,3.5,270,9,10
99,1524,945,77,200,3038,3.5,278,9,10
99,1524,945,77,203,3037,3.5,278,9,10
97,1523,945,78,200,3037,3.5,290,9,10
97,1523,945,78,200,3037,3.5,290,9,10
98,1524,945,79,197,3037,3.5,296,8,10
98,1524,945,79,197,3037,3.5,296,8,10
99,1526,945,77,199,3042,3.5,295,7,10
99,1524,945,78,204,3042,3.5,291,9,10
99,1524,945,78,204,3042,3.5,291,9,10
99,1521,945,80,208,3037,3.5,285,8,10
99,1520,945,81,210,3037,3.5,298,8,10
99,1520,945,81,210,3036,3.5,298,8,10
100,1520,945,80,208,3041,3.5,299,8,10
99,1521,945,79,204,3036,3.5,298,8,10
99,1521,945,79,204,3036,3.5,298,8,10
96,1522,945,81,202,3036,3.5,296,9,10
96,1522,945,81,202,3036,3.5,296,9,10
99,1522,945,79,203,3041,3.5,297,8,10
99,1522,945,79,203,3041,3.5,297,8,10
98,1521,945,82,213,3036,3.5,310,9,10
98,1521,945,82,213,3036,3.5,310,9,10
94,1521,945,80,186,3036,3.6,297,8,10
94,1521,945,80,186,3036,3.6,297,8,10
90,1529,945,81,194,3041,3.6,253,10,10
99,1521,945,82,214,3036,3.6,294,9,10
99,1521,945,82,214,3036,3.6,294,9,10
98,1520,945,82,205,3036,3.6,319,9,10
98,1520,945,82,205,3036,3.6,319,9,10
98,1528,945,81,195,3041,3.6,257,9,10
98,1528,945,81,195,3041,3.6,257,9,10
99,1526,945,82,197,3036,3.6,276,9,10
99,1526,945,82,197,3036,3.6,276,9,10
99,1521,945,81,203,3036,3.6,293,9,10
86,1523,945,82,190,3036,3.6,334,9,10
