GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
98.6813,1459.16,945,82.9341,194.518,3031.53,3.48949,236.205,8.61513,10
95,1454,945,64,187,2364,3.4,172,9,10
95,1454,945,64,187,2364,3.4,172,9,10
99,1528,945,69,200,2791,3.4,267,9,10
99,1528,945,69,200,2791,3.4,267,9,10
99,1526,945,71,204,3042,3.4,291,9,10
99,1526,945,71,204,3042,3.4,291,9,10
100,1526,945,73,201,3041,3.4,275,8,10
100,1526,945,73,201,3041,3.4,275,8,10
99,1527,945,76,196,3041,3.4,255,8,10
99,1527,945,76,196,3041,3.4,255,8,10
99,1529,945,75,197,3041,3.4,236,9,10
99,1529,945,75,197,3041,3.4,236,9,10
100,1528,945,78,198,3035,3.4,235,9,10
100,1528,945,78,198,3035,3.4,235,9,10
99,1527,945,77,200,3040,3.4,234,9,10
99,1527,945,77,200,3040,3.4,234,9,10
99,1529,945,79,191,3045,3.4,231,9,10
99,1529,945,77,195,3045,3.4,222,9,10
100,1528,945,77,196,3044,3.4,222,9,10
100,1528,945,77,196,3044,3.4,222,9,10
99,1527,945,80,198,3039,3.4,228,9,10
99,1527,945,78,199,3044,3.4,228,11,10
99,1527,945,78,199,3044,3.4,228,11,10
100,1527,945,81,197,3039,3.4,224,9,10
100,1526,945,81,200,3039,3.4,242,8,10
100,1526,945,81,200,3039,3.4,242,8,10
100,1526,945,79,202,3039,3.4,246,11,10
100,1525,945,79,203,3044,3.4,249,9,10
100,1525,945,79,203,3044,3.4,249,9,10
100,1526,945,82,197,3039,3.4,257,7,10
100,1526,945,82,199,3044,3.5,254,9,10
99,1525,945,82,200,3043,3.5,245,9,10
99,1525,945,82,200,3043,3.5,245,9,10
100,1523,945,81,204,3039,3.5,243,8,10
100,1523,945,81,204,3039,3.5,243,8,10
100,1523,945,81,204,3043,3.5,255,9,10
100,1523,945,81,204,3043,3.5,255,9,10
100,1524,945,81,201,3038,3.5,249,9,10
100,1524,945,81,201,3038,3.5,249,9,10
99,1523,945,83,201,3043,3.5,246,9,10
99,1525,945,81,201,3043,3.5,249,9,10
99,1525,945,83,199,3043,3.5,264,9,10
99,1525,945,83,199,3043,3.5,264,9,10
99,1523,945,82,203,3043,3.5,255,8,10
88,1530,945,81,166,3043,3.5,219,11,10
88,1530,945,81,166,3043,3.5,219,11,10
99,1526,945,82,202,3038,3.5,235,10,10
99,1526,945,82,202,3038,3.5,235,10,10
100,1523,945,83,202,3038,3.5,259,8,10
91,1499,945,83,177,3038,3.5,252,9,10
91,1499,945,83,177,3038,3.5,252,9,10
100,1526,945,82,197,3043,3.5,229,9,10
99,1527,945,82,197,3043,3.5,237,9,10
100,1525,945,83,199,3038,3.5,236,10,10
100,1525,945,83,199,3038,3.5,236,10,10
100,1526,945,84,196,3038,3.5,249,9,10
100,1526,945,84,196,3038,3.5,249,9,10
99,1524,945,84,207,3043,3.5,291,9,10
100,1522,945,85,205,3038,3.5,270,9,10
100,1522,945,85,205,3038,3.5,270,9,10
99,1522,945,83,204,3039,3.5,270,8,10
99,1522,945,83,204,3039,3.5,270,8,10
99,1524,945,84,195,3039,3.5,276,9,10
99,1524,945,84,195,3039,3.5,276,9,10
99,1527,945,84,193,3043,3.5,297,8,10
95,1526,945,85,197,3039,3.5,302,8,10
95,1526,945,85,197,3039,3.5,302,8,10
99,1525,945,83,202,3044,3.5,307,8,10
99,1525,945,83,202,3044,3.5,307,8,10
97,1521,945,84,201,3044,3.5,296,7,10
97,1521,945,84,201,3044,3.5,296,7,10
100,1426,945,84,203,3044,3.5,272,9,10
100,1448,945,85,203,3044,3.5,261,7,10
100,1448,945,85,199,3039,3.5,261,7,10
99,1519,945,85,199,3044,3.5,238,9,10
99,1519,945,85,199,3044,3.5,238,9,10
90,1520,945,84,184,3044,3.5,214,9,10
90,1520,945,84,184,3044,3.5,214,9,10
100,1477,945,85,200,3039,3.5,221,9,10
100,1477,945,85,200,3039,3.5,221,9,10
99,1524,945,85,199,3039,3.5,226,10,10
99,1524,945,85,199,3039,3.5,226,10,10
99,1489,945,85,200,3044,3.5,224,9,10
100,1472,945,85,196,3039,3.5,223,8,10
100,1472,945,85,196,3039,3.5,223,8,10
99,1480,945,83,203,3039,3.5,221,9,10
99,1480,945,83,203,3039,3.5,221,9,10
99,1520,945,86,200,3039,3.5,225,9,10
99,1520,945,86,200,3039,3.5,225,9,10
99,1491,945,86,195,3039,3.5,221,9,10
99,1491,945,86,195,3039,3.5,221,9,10
99,1464,945,84,193,3044,3.5,219,9,10
99,1464,945,84,193,3044,3.5,219,9,10
100,1442,945,85,189,3039,3.5,223,9,10
100,1442,945,85,189,3039,3.5,223,9,10
100,1383,945,83,186,3045,3.5,226,7,10
100,1383,945,83,186,3045,3.5,226,7,10
100,1385,945,84,194,3045,3.5,223,7,10
99,1410,945,85,199,3045,3.5,229,7,10
99,1410,945,85,199,3045,3.5,229,7,10
100,1439,945,84,201,3040,3.5,236,7,10
100,1439,945,84,201,3040,3.5,236,7,10
98,1423,945,82,196,3040,3.5,226,9,10
99,1395,945,85,191,3040,3.5,228,9,10
99,1395,945,85,191,3040,3.5,228,9,10
100,1383,945,85,193,3045,3.5,225,9,10
99,1386,945,85,200,3045,3.5,232,9,10
99,1386,945,85,200,3045,3.5,232,9,10
100,1389,945,85,192,3040,3.5,233,7,10
100,1389,945,85,192,3040,3.5,233,7,10
100,1416,945,84,197,3040,3.5,241,8,10
97,1410,945,84,197,3045,3.5,273,7,10
97,1410,945,84,193,3045,3.5,273,7,10
97,1453,945,85,197,3040,3.5,288,7,10
97,1453,945,85,197,3040,3.5,288,7,10
96,1466,945,85,194,3041,3.5,310,7,10
96,1466,945,85,194,3041,3.5,310,7,10
96,1425,945,83,184,3041,3.5,308,6,10
100,1486,945,83,184,3041,3.5,300,8,10
100,1486,945,83,173,3041,3.5,300,8,10
97,1426,945,85,173,3040,3.5,256,9,10
99,1399,945,83,187,3040,3.5,251,9,10
99,1399,945,83,187,3040,3.5,251,9,10
99,1420,945,85,194,3041,3.5,246,9,10
99,1420,945,85,194,3041,3.5,246,9,10
100,1463,945,83,199,3046,3.5,238,9,10
100,1463,945,83,199,3046,3.5,238,9,10
100,1479,945,83,195,3046,3.5,228,9,10
100,1479,945,83,195,3046,3.5,228,9,10
99,1515,945,85,198,3046,3.5,228,8,10
99,1515,945,85,198,3046,3.5,228,8,10
99,1462,945,84,191,3041,3.5,222,9,10
99,1462,945,84,191,3041,3.5,222,9,10
100,1397,945,84,192,3046,3.5,222,9,10
100,1397,945,84,192,3046,3.5,222,9,10
98,1397,945,83,197,3041,3.5,224,8,10
99,1405,945,84,194,3046,3.5,225,9,10
98,1405,945,84,194,3041,3.5,227,10,10
98,1405,945,84,194,3041,3.5,227,10,10
99,1413,945,84,197,3046,3.5,227,8,10
99,1413,945,84,197,3046,3.5,227,8,10
99,1441,945,86,200,3046,3.5,234,9,10
100,1323,945,84,181,3046,3.5,208,9,10
100,1323,945,84,181,3046,3.5,208,9,10
100,1314,945,83,190,3036,3.5,229,8,10
100,1314,945,83,190,3036,3.5,229,8,10
97,1434,945,86,193,3046,3.5,267,9,10
96,1484,945,86,193,3041,3.5,299,8,10
96,1484,945,85,196,3041,3.5,299,8,10
97,1394,945,83,191,3042,3.5,301,7,10
97,1394,945,83,191,3042,3.5,301,7,10
97,1465,945,83,196,3041,3.5,309,7,10
96,1390,945,85,184,3046,3.5,307,7,10
96,1390,945,85,184,3046,3.5,307,7,10
99,1503,945,85,196,3042,3.5,259,9,10
90,1490,945,83,196,3042,3.5,245,11,10
90,1490,945,83,185,3042,3.5,245,11,10
99,1527,945,85,196,3042,3.5,242,9,10
99,1527,945,85,196,3042,3.5,242,9,10
97,1526,945,83,196,3042,3.5,239,9,10
97,1526,945,83,196,3042,3.5,239,9,10
99,1444,945,83,193,3042,3.5,237,9,10
99,1444,945,83,193,3042,3.5,237,9,10
99,1480,945,85,200,3047,3.5,237,9,10
99,1481,945,83,193,3042,3.5,238,10,10
99,1481,945,83,193,3042,3.5,238,10,10
100,1459,945,85,194,3042,3.5,231,9,10
100,1459,945,85,194,3042,3.5,231,9,10
99,1466,945,83,194,3042,3.5,234,8,10
99,1466,945,83,194,3042,3.5,234,8,10
99,1375,945,85,188,3042,3.5,223,8,10
100,1409,945,85,194,3042,3.5,228,7,10
100,1409,945,85,194,3042,3.5,228,7,10
100,1345,945,86,191,3047,3.5,221,8,10
100,1345,945,86,191,3047,3.5,221,8,10
100,1356,945,85,183,3047,3.5,215,7,10
100,1356,945,85,183,3047,3.5,215,7,10
99,1453,945,83,193,3047,3.5,220,8,10
99,1453,945,83,193,3047,3.5,220,8,10
100,1427,945,85,190,3042,3.5,218,9,10
100,1427,945,85,190,3042,3.5,218,9,10
89,1521,945,84,180,3047,3.5,223,10,10
92,1531,945,82,180,3047,3.5,227,9,10
92,1531,945,82,195,3043,3.5,227,9,10
100,1473,945,83,193,3042,3.5,247,8,10
100,1473,945,83,193,3042,3.5,247,8,10
99,1426,945,83,193,3043,3.5,253,10,10
99,1426,945,83,193,3043,3.5,253,10,10
100,1365,945,85,188,3038,3.5,264,9,10
100,1365,945,85,188,3038,3.5,253,9,10
97,1437,945,84,194,3043,3.5,253,9,10
99,1479,945,83,190,3043,3.5,241,10,10
99,1479,945,83,190,3043,3.5,241,10,10
97,1478,945,85,191,3042,3.5,243,9,10
98,1458,945,83,194,3043,3.5,243,9,10
98,1458,945,83,194,3043,3.5,243,9,10
98,1456,945,83,191,3043,3.5,231,10,10
96,1464,945,85,189,3043,3.5,228,9,10
96,1464,945,85,189,3043,3.5,228,9,10
100,1475,945,85,196,3043,3.5,231,9,10
100,1475,945,85,196,3043,3.5,231,9,10
99,1462,945,85,195,3043,3.5,232,9,10
99,1462,945,85,195,3043,3.5,232,9,10
99,1437,945,83,195,3048,3.5,230,8,10
99,1405,945,83,192,3037,3.5,233,9,10
99,1405,945,83,192,3037,3.5,233,9,10
92,1519,945,84,188,3047,3.5,220,10,10
89,1529,945,82,185,3042,3.5,218,9,10
89,1529,945,82,185,3042,3.5,218,9,10
99,1446,945,84,194,3043,3.5,233,10,10
99,1446,945,84,194,3043,3.5,233,10,10
100,1450,945,85,196,3043,3.5,229,9,10
100,1399,945,82,190,3037,3.5,229,9,10
98,1505,945,83,190,3037,3.5,224,9,10
98,1505,945,83,187,3042,3.5,224,9,10
100,1526,945,85,187,3042,3.5,224,9,10
100,1526,945,85,186,3042,3.5,224,11,10
99,1523,945,85,194,3042,3.5,230,9,10
99,1523,945,85,194,3042,3.5,230,9,10
99,1492,945,85,194,3042,3.5,225,9,10
99,1492,945,85,194,3042,3.5,225,9,10
100,1383,945,85,198,3042,3.5,233,9,10
100,1383,945,85,198,3042,3.5,233,9,10
99,1334,945,84,194,3042,3.5,258,8,10
99,1362,945,83,190,3042,3.5,235,8,10
99,1362,945,83,190,3042,3.5,235,8,10
99,1428,945,83,188,3042,3.5,226,10,10
99,1419,945,83,188,3042,3.5,233,8,10
99,1419,945,83,195,3042,3.5,233,8,10
99,1467,945,85,190,3042,3.5,210,9,10
99,1467,945,85,190,3042,3.5,210,9,10
100,1448,945,83,194,3047,3.5,237,9,10
99,1446,945,85,196,3047,3.5,238,8,10
99,1446,945,85,196,3047,3.5,238,8,10
100,1471,945,85,192,3042,3.5,228,9,10
100,1471,945,85,192,3042,3.5,228,9,10
100,1503,945,83,195,3042,3.5,214,9,10
100,1503,945,83,195,3042,3.5,214,9,10
100,1494,945,82,194,3042,3.5,218,8,10
97,1459,945,85,196,3042,3.5,227,9,10
97,1459,945,85,196,3042,3.5,227,9,10
100,1415,945,83,195,3042,3.5,238,7,10
100,1415,945,83,195,3042,3.5,238,7,10
100,1382,945,84,189,3042,3.5,227,8,10
100,1382,945,84,189,3042,3.5,227,8,10
99,1395,945,84,189,3042,3.5,236,8,10
99,1395,945,84,189,3042,3.5,236,8,10
100,1450,945,85,197,3042,3.5,242,8,10
100,1452,945,84,197,3042,3.5,219,9,10
100,1452,945,84,198,3042,3.5,219,9,10
99,1469,945,84,199,3042,3.5,219,8,10
99,1469,945,84,199,3042,3.5,219,8,10
100,1407,945,84,199,3042,3.5,214,8,10
100,1407,945,84,199,3042,3.5,214,8,10
99,1393,945,85,190,3042,3.5,206,7,10
99,1393,945,85,190,3042,3.5,206,7,10
99,1452,945,83,197,3042,3.5,221,9,10
99,1452,945,83,197,3042,3.5,221,9,10
99,1386,945,83,198,3042,3.5,213,9,10
99,1386,945,83,198,3042,3.5,213,9,10
100,1410,945,83,199,3042,3.5,198,9,10
100,1405,945,83,198,3042,3.5,205,12,10
100,1405,945,83,198,3042,3.5,205,12,10
100,1441,945,84,200,3042,3.5,211,8,10
99,1451,945,85,193,3037,3.5,202,7,10
99,1451,945,85,193,3037,3.5,202,7,10
99,1444,945,82,199,3042,3.5,193,9,10
99,1444,945,82,199,3042,3.5,193,9,10
100,1374,945,85,187,3047,3.5,209,8,10
100,1375,945,85,187,3047,3.5,239,9,10
100,1375,945,82,194,3042,3.5,239,9,10
99,1403,945,82,194,3042,3.5,215,9,10
99,1403,945,85,204,3042,3.5,215,9,10
99,1391,945,86,186,3047,3.5,204,9,10
99,1391,945,86,186,3047,3.5,204,9,10
100,1458,945,83,195,3037,3.5,214,8,10
100,1458,945,83,195,3037,3.5,214,8,10
99,1447,945,85,194,3042,3.5,222,8,10
99,1404,945,85,194,3042,3.5,231,9,10
99,1404,945,85,199,3047,3.5,231,9,10
99,1450,945,85,199,3047,3.5,207,8,10
100,1434,945,82,199,3042,3.5,199,8,10
100,1434,945,82,199,3042,3.5,199,8,10
100,1418,945,82,197,3042,3.5,215,8,10
100,1418,945,82,197,3042,3.5,215,8,10
100,1416,945,83,190,3042,3.5,218,8,10
99,1433,945,85,194,3042,3.5,231,8,10
100,1406,945,85,188,3042,3.5,234,10,10
100,1413,945,85,188,3042,3.5,220,8,10
100,1413,945,85,201,3042,3.5,220,8,10
100,1398,945,83,201,3042,3.5,199,8,10
100,1398,945,83,198,3042,3.5,199,8,10
100,1423,945,84,201,3042,3.5,209,7,10
100,1423,945,84,201,3042,3.5,209,7,10
99,1399,945,85,196,3042,3.5,209,8,10
100,1446,945,83,197,3042,3.5,240,7,10
100,1446,945,83,197,3042,3.5,240,7,10
100,1371,945,84,195,3042,3.5,219,8,10
100,1371,945,84,195,3042,3.5,219,8,10
99,1451,945,84,199,3047,3.5,203,9,10
100,1430,945,84,197,3042,3.5,217,8,10
100,1430,945,84,197,3042,3.5,217,8,10
