GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
94.1802,1491.77,945,81.4455,193.979,3023.79,3.28455,287.679,9.2754,10
83,1448,945,63,166,2381,3.2,201,6,10
83,1448,945,63,166,2381,3.2,201,6,10
97,1531,945,68,195,2390,3.2,302,10,10
97,1531,945,68,195,2390,3.2,302,10,10
99,1525,945,71,203,3037,3.2,352,10,10
99,1525,945,71,203,3037,3.2,352,10,10
100,1523,945,74,207,3036,3.2,342,8,10
99,1523,945,73,207,3036,3.2,326,9,10
99,1523,945,73,207,3036,3.2,326,9,10
91,1536,945,73,175,3040,3.2,275,9,10
87,1534,945,73,179,3035,3.2,269,9,10
87,1534,945,73,179,3035,3.2,269,9,10
90,1533,945,76,181,3035,3.2,273,9,10
85,1529,945,76,187,3039,3.2,279,10,10
85,1529,945,76,187,3039,3.2,279,10,10
89,1530,945,77,185,3039,3.2,279,10,10
89,1530,945,77,185,3039,3.2,279,10,10
86,1537,945,75,167,3039,3.2,234,9,10
85,1537,945,75,178,3034,3.2,239,10,10
87,1535,945,76,180,3039,3.2,242,11,10
87,1535,945,76,180,3039,3.2,242,11,10
99,1527,945,76,201,3033,3.2,275,9,10
96,1529,945,76,189,3033,3.2,273,11,10
96,1529,945,76,189,3033,3.2,273,11,10
99,1527,945,79,200,3033,3.2,273,10,10
99,1527,945,79,200,3033,3.2,273,10,10
94,1527,945,79,193,3038,3.2,295,8,10
94,1527,945,79,193,3038,3.2,295,8,10
96,1526,945,78,196,3038,3.2,302,10,10
96,1526,945,78,196,3038,3.2,302,10,10
99,1526,945,78,199,3033,3.2,302,8,10
99,1526,945,78,199,3033,3.2,302,8,10
89,1526,945,79,192,3037,3.2,294,9,10
89,1526,945,79,192,3037,3.2,294,9,10
99,1521,945,82,207,3037,3.2,305,9,10
99,1521,945,82,207,3037,3.2,305,9,10
97,1521,945,82,205,3037,3.2,318,9,10
85,1526,945,81,193,3037,3.2,300,9,10
99,1525,945,82,203,3037,3.2,298,10,10
99,1525,945,82,203,3037,3.2,298,10,10
98,1521,945,82,201,3037,3.2,303,9,10
