GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
99.5425,1260.61,945,82.7602,202.14,3037.55,3.92039,79.135,7.24347,10
100,1452,945,71,223,3027,3.9,85,8,10
100,1452,945,71,223,3027,3.9,85,8,10
100,1509,945,77,232,3032,3.9,103,8,10
99,1510,945,77,233,3032,3.9,107,8,10
99,1510,945,77,233,3032,3.9,107,8,10
100,1510,945,80,231,3032,3.9,99,7,10
100,1510,945,80,231,3032,3.9,99,7,10
99,1511,945,81,228,3036,3.9,93,8,10
100,1511,945,82,228,3036,3.9,90,8,10
100,1511,945,82,228,3036,3.9,90,8,10
99,1512,945,80,228,3036,3.9,88,7,10
99,1512,945,80,228,3036,3.9,88,7,10
99,1511,945,81,229,3036,3.9,88,8,10
99,1511,945,81,229,3036,3.9,88,8,10
99,1456,945,83,222,3036,3.9,85,7,10
99,1456,945,83,222,3036,3.9,85,7,10
100,1424,945,82,218,3031,3.9,84,8,10
100,1424,945,82,218,3031,3.9,84,8,10
99,1447,945,81,216,3036,3.9,84,7,10
99,1447,945,81,216,3036,3.9,84,7,10
99,1360,945,81,208,3036,3.9,79,8,10
100,1384,945,81,218,3037,3.9,80,8,10
100,1354,945,82,214,3036,3.9,77,7,10
99,1352,945,83,208,3036,3.9,77,7,10
99,1352,945,83,208,3036,3.9,77,8,10
100,1393,945,82,217,3031,3.9,79,8,10
100,1393,945,82,217,3031,3.9,79,8,10
99,1335,945,84,209,3036,3.9,81,8,10
99,1335,945,84,209,3036,3.9,81,8,10
100,1350,945,82,204,3037,3.9,82,5,10
100,1350,945,82,204,3037,3.9,82,5,10
100,1389,945,82,217,3037,3.9,86,6,10
100,1389,945,82,217,3037,3.9,86,6,10
99,1336,945,84,211,3037,3.9,80,8,10
99,1336,945,84,211,3037,3.9,80,8,10
100,1328,945,83,212,3042,3.9,80,8,10
100,1328,945,83,212,3042,3.9,80,8,10
100,1290,945,84,209,3032,3.9,80,7,10
100,1328,945,84,209,3037,3.9,83,8,10
100,1328,945,84,209,3037,3.9,83,8,10
100,1313,945,82,202,3037,3.9,81,7,10
100,1313,945,82,202,3037,3.9,81,7,10
99,1279,945,83,194,3037,3.9,84,8,10
100,1319,945,84,210,3032,3.9,82,7,10
100,1319,945,84,210,3032,3.9,82,7,10
99,1280,945,82,204,3037,3.9,80,8,10
99,1280,945,82,204,3037,3.9,80,8,10
99,1309,945,82,205,3037,3.9,80,7,10
99,1309,945,82,205,3037,3.9,80,7,10
99,1255,945,82,198,3037,3.9,80,7,10
99,1255,945,82,198,3037,3.9,80,7,10
99,1313,945,82,208,3037,3.9,82,7,10
99,1313,945,82,208,3037,3.9,82,7,10
99,1257,945,84,195,3037,3.9,78,8,10
99,1257,945,84,195,3037,3.9,78,8,10
99,1329,945,82,208,3038,3.9,81,8,10
99,1317,945,82,209,3038,3.9,80,8,10
99,1317,945,82,209,3038,3.9,80,7,10
99,1278,945,84,195,3037,3.9,87,7,10
99,1278,945,84,195,3037,3.9,87,7,10
99,1218,945,82,197,3032,3.9,85,8,10
99,1218,945,82,197,3032,3.9,85,8,10
99,1248,945,84,211,3038,3.9,82,7,10
99,1248,945,84,211,3038,3.9,82,7,10
100,1229,945,82,199,3038,3.9,86,8,10
100,1260,945,82,202,3038,3.9,108,7,10
100,1260,945,82,202,3038,3.9,108,7,10
100,1258,945,84,196,3038,3.9,108,7,10
100,1228,945,84,197,3038,3.9,107,7,10
100,1228,945,84,197,3038,3.9,107,7,10
100,1255,945,84,207,3038,3.9,101,7,10
100,1255,945,84,207,3038,3.9,101,7,10
99,1252,945,84,213,3033,3.9,90,5,10
99,1253,945,82,214,3038,3.9,87,5,10
