Application,Runtime,AllowsTearing,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.016791,11.813,11.462,0.811,12.254,12.254
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.029059,12.267,11.062,0.136,11.049,11.049
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.039405,10.347,10.647,0.722,11.349,11.349
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.050787,11.382,10.740,0.199,10.707,10.707
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.060824,10.037,10.631,0.688,11.302,11.302
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.072221,11.397,10.620,0.068,10.524,10.524
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.082106,9.885,10.645,0.657,11.284,11.284
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.093413,11.306,10.687,0.087,10.664,10.664
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.103383,9.970,10.656,0.715,11.351,11.351
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.114845,11.463,10.630,0.082,10.518,10.518
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.124765,9.919,10.754,0.623,11.353,11.353
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.136325,11.560,10.639,0.072,10.431,10.431
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.145982,9.657,10.604,0.793,11.378,11.378
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.157343,11.361,10.676,0.062,10.693,10.693
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.167280,9.937,10.676,0.775,11.432,11.432
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.180206,12.926,10.621,0.066,9.127,9.127
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.188698,8.492,10.759,0.654,11.394,11.394
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.200497,11.799,10.883,0.062,10.478,10.478
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.210308,9.811,10.632,0.704,11.299,11.299
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.221876,11.568,10.645,0.070,10.376,10.376
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.231599,9.722,10.661,0.673,11.315,11.315
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.243054,11.455,10.752,0.075,10.612,10.612
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.252930,9.876,10.675,0.757,11.411,11.411
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.264606,11.676,10.676,0.059,10.411,10.411
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.274290,9.684,10.686,0.747,11.413,11.413
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.285757,11.467,10.619,0.059,10.565,10.565
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.295600,9.842,10.667,0.742,11.389,11.389
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.307150,11.551,10.634,0.060,10.473,10.473
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.316883,9.732,10.662,0.761,11.403,11.403
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.328567,11.684,10.651,0.060,10.370,10.370
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.338195,9.628,10.639,0.761,11.381,11.381
Sam2017.exe,DXGI,1,Hardware: Legacy Flip,0,0.349844,11.649,10.659,0.086,10.390,10.390
